Date,Time,Band,Mode,Call,Other park
20210215,2250,40,CW,N9EGT,
20210215,2254,40m,CW,W5GAI,
2021-02-15,2307,40M,SSB,W3DRE,K-3480
2021/02/15,2314,20,CW,AB4WL,
20210215,2315,20,CW,NT2A,
20210215,2318,20 m,CW,W4QO,
2021-0215,2325,20,CW,WI2X,
2021/0215,2326,20,CW,AC0A,
202102-15,2329,20,CW,KN4RBN,
202102/15,2330,20,CW,K0CMH,
2021/02-15,2333,20,CW,K3UG,
2021-02/15,2334,20,CW,W9AV,
20210215,2335,20,CW,AA5UZ,
20210215,2337,20,Cw,WI1G,
20210215,2341,20,CW,K2IWQ,
20210216,0011,40,SsB,W3DRE,K-3480
20210216,0016,40,SSB,VA7AXF,
20210216,0017,40,SSB,KI6EAB,
20210216,0019,40,SSB,W3DRE,K-3480
20210216,0022,40,SSB,KG8P,
20210216,0032,20,SSB,ND9E,
20210216,0033,20,SSB,KC9YDV,
20210216,0038,20,SSB,KB9LQA,
20210216,0043,20,SSB,KW2DX,
20210216,0044,20,SSB,KJ7TJA,
20210216,0053,40,SSB,WA8IPA,
