Date,Time,Band,Mode,Call,Other Park,Other Summit,Comments
20211029,1827,40M,SSB,WB6POT,,,CA
20211029,1829,40M,SSB,K6EL,,W6/NC-423,
20211029,1830,40M,SSB,N0WAE,,,MT
20211029,1832,40M,SSB,KF7DPT,,,MT
20211029,1858,40M,CW,N7SM,,,WA
20211029,1900,40M,CW,KJ7RPL,,,OR
20211029,1904,40M,CW,W7GA,,,UT
20211029,1911,40M,CW,W6TDX,,,OR
20211029,1913,40M,CW,WC7C,,,WA
20211029,1915,40M,CW,KJ7VAB,,,
20211029,1937,20M,SSB,KQ6QB,K-3530,,CA
20211029,1942,20M,SSB,KG0E,K-9385,,MN
20211029,2003,20M,CW,N6AN,,W6/CT-030,CA
20211029,2013,20M,SSB,WA7JTM,,,AZ
20211029,2014,20M,SSB,VE5XU,,,
20211029,2018,20M,SSB,KL7HM,,,AZ
20211029,2018,20M,SSB,W5ODS,,,OK
20211029,2019,20M,SSB,AL7KC,,,AK
20211029,2020,20M,SSB,KX6I,,W6/SD-025,
20211029,2022,20M,SSB,VE3ZN,,,Ottawa
20211029,2024,20M,SSB,AA7DK,,,AZ
20211029,2026,20M,SSB,K6LDQ,,,CA
20211029,2026,20M,SSB,W0MNA,,,KS
